symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de
2150,2023,329000000,66830638,47878843,0.06775,0.05953,27.3973,1.46,21.9335,0.0212
2150,2024,329000000,78692392,96831561,0.13122,0.11944,18.4694,2.94,22.9266,0.035
2170,2021,692000000,1763623000,1622307000,0.62294,0.3123,2.3038,23.44,52.7818,0.4588
2170,2022,692000000,1422715000,64543000,0.02489,0.01291,40.0538,0.93,52.4597,0.4003
2170,2023,692000000,1554850000,-82245000,-0.0293,-0.01745,-25.0621,-1.61,43.8171,0.364
2170,2024,692000000,490516000,-50703000,-0.01554,-0.01004,-52.4658,-0.73,50.4788,0.0075
2180,2021,115000000,183356852,-9063067,-0.07547,-0.02987,-66.7089,-0.79,10.4424,0.8859
2180,2022,115000000,154996313,9795159,0.0777,0.03318,41,0.85,11.4812,0.5793
2180,2023,115000000,143027171,11989910,0.08697,0.04179,52.6923,1.04,12.4958,0.4144
2180,2024,115000000,136077381,930509,0.00644,0.00327,,,12.6475,0.346
2200,2021,400000000,454919000,-60116000,-0.56874,-0.10723,-14.6068,-0.3005,0.5285,2.8716
2200,2022,100000000,667242000,-10488000,-0.10133,-0.01578,-50.7936,-0.0525,0.5066,4.244
2200,2023,100000000,674594000,132105000,0.79003,0.15762,12.8889,0.66,1.1656,2.0117
2200,2024,150000000,530264000,168177000,0.53016,0.18287,14.5,0.84,2.0066,1.0442
2210,2021,235200000,820671000,27689000,0.07915,0.02366,27.4002,1.177,14.9783,1.5078
2210,2022,235200000,747111000,37016000,0.10062,0.03214,20.9657,1.574,16.4105,1.2663
2210,2023,235200000,777935000,-156885000,-0.50982,-0.14659,-4.8126,-6.67,9.7566,2.2924
2210,2024,235200000,855007000,11719000,0.04949,0.01113,,,10.3794,2.2981
2220,2021,354000000,150862198,-29130080,-0.0828,-0.05795,-26.1735,-0.98,9.9378,0.1216
2220,2022,354000000,130087782,-38997304,-0.11687,-0.08225,-15.3818,-1.1,8.9143,0.1066
2220,2023,354000000,113938352,-31470394,-0.10493,-0.07459,-22.3146,-0.89,8.0305,0.1013
2220,2024,354000000,128638135,-40296356,-0.15213,-0.10435,-15.5439,-1.14,6.9344,0.115
2223,2021,441000000,4119756906,1502515031,0.35399,0.17963,,8.9,25.1529,0.5567
2223,2022,1687500000,3561986000,1978080000,0.42414,0.23259,7.9352,11.72,30.2244,0.4353
2223,2023,1687500000,3987677000,1509612000,0.30339,0.17251,16.1693,8.98,28.9374,0.4371
2223,2024,1687500000,3341788000,972028000,0.2098,0.11714,19.3426,5.78,26.1357,0.2435
2240,2021,600000000,4565400000,-159417000,-0.1649,-0.02789,-10.4323,-2.66,16.1121,2.6419
2240,2022,600000000,5059169000,-178069000,-0.20496,-0.03038,-5.3535,-2.97,12.848,3.7717
2240,2023,600000000,5424772000,-297843000,-0.48719,-0.04931,-5.2923,-4.96,7.53,5.2127
2240,2024,600000000,5363929000,26805000,0.05763,0.00443,71.8889,0.45,7.9753,4.5363
2250,2021,4500000000,418111000,1136272000,0.15505,0.09229,12.3123,2.8111,18.095,0.09291355555555555556
2250,2022,7548000000,367240000,277440000,0.0308,0.02375,53.6097,0.4556,15.7319,0.04865394806571277160
2250,2023,7548000000,749808000,112201000,0.01084,0.01028,147.9997,0.1667,14.7538,0.09933863275039745628
2250,2024,7548000000,266931000,201243000,0.02027,0.01928,61.8519,0.3,14.477,0.03536446740858505564
2290,2021,5625000000,3118519000,1531299000,0.1018,0.08432,25.2574,2.72,26.742,0.0097
2290,2022,5625000000,2628738000,414145000,0.02847,0.02377,56.2162,0.74,24.9793,0.0105
2290,2023,5625000000,2881083000,-485144000,-0.03739,-0.03084,-44.2442,-0.86,21.157,0.0095
2290,2024,5625000000,2887516000,420334000,0.03633,0.02908,50.4,0.75,19.9763,0.0094
2300,2021,192000000,764117908,30275860,0.14243,0.03097,17.9787,1.5168,6.6353,2.8508
2300,2022,337000000,655809266,46894939,0.15278,0.04607,14.3333,1.4727,10.8261,1.255
2300,2023,337000000,604541279,72935736,0.16691,0.06829,20.4661,1.97,12.789,0.9081
2300,2024,370700000,710363933,83237867,0.16894,0.07232,28.8444,2.25,13.8763,0.9467
2310,2021,7333333000,8742992000,3591844000,0.24627,0.14682,8.5714,4.9,19.8888,0.3798
2310,2022,7333333000,6738483000,3595291000,0.23659,0.14999,6.9286,4.9,21.5554,0.2197
2310,2023,7333333000,5601573000,1174994000,0.0749,0.05165,21.2812,1.6,21.2308,0.1747
2310,2024,7333333000,5111792000,426139000,0.02766,0.01977,42.8966,0.58,20.7807,0.1482
2330,2021,2164734000,1934729000,815395000,0.21836,0.13842,18.7075,3.136,14.375,0.2846
2330,2022,2600000000,4619868000,294501000,0.08446,0.04169,37.4449,1.135,12.4597,1.2237
2330,2023,2600000000,7865375000,171061000,0.05288,0.01736,59.2424,0.66,12.4234,2.1948
2330,2024,2600000000,9408300000,-259180000,-0.08494,-0.02149,-32.1,-1,11.0494,2.9534
