base_symbol,first_date,last_date,first_year,last_year,source
7204,2022-11-27,2025-11-02,2022,2025,yahoo_period_max
7211,2025-07-13,2025-11-02,2025,2025,yahoo_period_max
8010,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8012,2014-06-24,2025-11-02,2014,2025,yahoo_period_max
8020,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8030,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8040,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8050,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8060,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8070,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8100,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8120,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8150,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8160,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8170,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8180,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8190,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8200,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8210,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8230,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8240,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8250,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8260,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8270,2014-01-01,2025-10-28,2014,2025,yahoo_period_max
8280,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8300,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8310,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8311,2014-01-01,2025-11-02,2014,2025,yahoo_period_max
8313,2024-06-11,2025-11-02,2024,2025,yahoo_period_max
9403,2022-02-08,2025-11-02,2022,2025,yahoo_period_max
9404,2020-03-04,2025-11-02,2020,2025,yahoo_period_max
