symbol,distribution_date,dividend_amount
9404,2023-01-11,0.8
4144,2023-01-09,1.0
1030,2023-04-30,0.45
2290,2023-03-26,1.25
4344,2023-02-16,0.1812
4002,2023-05-17,3.0
1150,2023-05-11,0.5
1080,2023-04-11,0.6
3092,2023-05-11,0.75
2280,2023-04-17,1.0
2020,2023-04-13,8.0
1010,2023-04-03,0.65
2230,2023-01-29,0.5
4050,2023-01-05,0.5
4004,2022-12-29,1.0
3001,2022-12-26,0.25
1050,2023-06-12,0.9
2010,2023-04-02,2.0
2282,2023-01-18,1.0
2080,2022-12-27,1.0
3060,2022-12-29,0.75
4347,2023-01-04,0.33
4292,2023-01-29,1.0
7204,2023-01-12,0.7
2250,2022-12-22,0.75
2310,2022-12-15,1.5
4007,2022-12-19,0.35
4342,2023-01-02,0.2
3040,2022-12-12,0.6
4334,2022-12-06,0.44
4291,2023-01-08,1.2
6014,2022-12-12,0.7
4001,2022-12-01,7.5
1322,2022-11-30,0.6
4261,2022-11-27,0.62
4190,2022-11-23,2.25
2081,2022-11-29,1.5
2222,2022-11-28,0.3198
9403,2022-11-16,0.0398
4348,2022-12-26,0.125
1830,2022-11-20,0.7
7010,2022-11-22,0.4
4324,2022-11-20,0.3
4013,2022-11-14,0.86
4336,2022-11-03,0.13
4333,2022-11-10,0.18
4331,2022-10-31,0.2923
4144,2022-11-16,1.0
1202,2022-10-25,0.5
3004,2022-10-23,0.25
9403,2022-10-18,0.029
4339,2022-11-13,0.16
3002,2022-10-19,0.25
4346,2022-11-17,0.05
4150,2022-10-30,0.25
4344,2022-11-17,0.1813
2330,2022-12-18,0.55
7203,2022-10-13,2.0
4004,2022-10-09,1.0
3040,2022-10-12,0.5
4007,2022-09-27,0.3
3050,2022-09-26,0.75
3003,2022-09-26,0.4
4145,2022-09-19,2.0
3092,2022-09-28,0.75
4050,2022-09-21,0.5
4071,2022-10-19,1.9
4342,2022-10-05,0.2
9403,2022-09-18,0.0225
4261,2022-09-20,0.5
1831,2022-09-14,1.25
4330,2022-09-21,0.44
4320,2022-09-29,0.25
3001,2022-09-14,0.25
4161,2022-09-25,0.9
4163,2022-09-20,1.25
6014,2022-09-20,1.69
4001,2022-09-15,2.0
2080,2022-09-29,0.85
2222,2022-09-07,0.3198
2190,2022-09-08,0.4
6070,2022-08-25,0.5
4322,2022-10-12,2.0
3010,2022-09-15,1.1
1302,2022-09-06,0.85
4051,2022-09-04,0.7
4164,2022-08-25,2.31
4003,2022-08-25,2.5
4700,2022-08-25,0.26
4013,2022-08-29,0.86
1830,2022-08-24,0.37
4190,2022-08-17,1.45
4323,2022-09-18,0.5
3080,2022-08-30,1.0
4340,2022-08-28,0.33
7010,2022-08-25,1.0
1301,2022-08-18,1.0
1020,2022-08-15,0.4
9403,2022-08-16,0.051
4260,2022-09-01,0.5
4348,2022-09-28,0.125
4191,2022-10-10,0.5
4012,2022-08-17,0.75
4345,2022-08-10,0.1
4333,2022-08-16,0.18
1030,2022-08-14,0.3
4338,2022-08-25,0.35
1322,2022-08-09,2.0
4162,2022-08-14,1.25
1010,2022-08-11,0.5
4336,2022-08-04,0.13
1150,2022-08-14,0.45
4335,2022-08-16,0.3
2040,2022-08-14,0.5
2330,2022-09-18,0.55
1060,2022-07-27,0.55
7200,2022-10-13,1.2
4339,2022-08-11,0.18
1180,2022-07-21,1.1
4344,2022-08-18,0.175
4321,2022-07-26,0.75
9403,2022-07-24,0.0056
1050,2022-08-04,0.75
2020,2022-08-01,4.0
2310,2022-07-26,1.75
9404,2022-07-21,0.8
1080,2022-07-18,0.5
2010,2022-10-02,2.25
4261,2022-07-06,0.49
8210,2022-07-20,4.5
2170,2022-07-20,1.5
2290,2022-06-29,1.5
3060,2022-06-30,0.75
