symbol,year,capital,total_liabilities,net_income,roe,roa,pe,eps,bvps,de,earnings_yield
2223,2023,1687500000.0000,3987677000.0000,1509612000.0000,0.3034,0.1725,16.1693,8.980000,28.937400,0.437100,0.06184560
2223,2024,1687500000.0000,3341788000.0000,972028000.0000,0.2098,0.1171,19.3426,5.780000,26.135700,0.243500,0.05169936
2240,2021,600000000.0000,4565400000.0000,-159417000.0000,-0.1649,-0.0279,-10.4323,-2.660000,16.112100,2.641900,
2240,2022,600000000.0000,5059169000.0000,-178069000.0000,-0.2050,-0.0304,-5.3535,-2.970000,12.848000,3.771700,
2240,2023,600000000.0000,5424772000.0000,-297843000.0000,-0.4872,-0.0493,-5.2923,-4.960000,7.530000,5.212700,
2240,2024,600000000.0000,5363929000.0000,26805000.0000,0.0576,0.0044,71.8889,0.450000,7.975300,4.536300,0.01391035
2250,2021,4500000000.0000,418111000.0000,1136272000.0000,0.1551,0.0923,12.3123,2.811100,18.095000,0.092914,0.08121959
2250,2022,7548000000.0000,367240000.0000,277440000.0000,0.0308,0.0238,53.6097,0.455600,15.731900,0.048654,0.01865334
2250,2023,7548000000.0000,749808000.0000,112201000.0000,0.0108,0.0103,147.9997,0.166700,14.753800,0.099339,0.00675677
2250,2024,7548000000.0000,266931000.0000,201243000.0000,0.0203,0.0193,61.8519,0.300000,14.477000,0.035364,0.01616765
2290,2021,5625000000.0000,3118519000.0000,1531299000.0000,0.1018,0.0843,25.2574,2.720000,26.742000,0.009700,0.03959236
2290,2022,5625000000.0000,2628738000.0000,414145000.0000,0.0285,0.0238,56.2162,0.740000,24.979300,0.010500,0.01778847
2290,2023,5625000000.0000,2881083000.0000,-485144000.0000,-0.0374,-0.0308,-44.2442,-0.860000,21.157000,0.009500,
2290,2024,5625000000.0000,2887516000.0000,420334000.0000,0.0363,0.0291,50.4000,0.750000,19.976300,0.009400,0.01984127
2300,2021,192000000.0000,764117908.0000,30275860.0000,0.1424,0.0310,17.9787,1.516800,6.635300,2.850800,0.05562137
2300,2022,337000000.0000,655809266.0000,46894939.0000,0.1528,0.0461,14.3333,1.472700,10.826100,1.255000,0.06976760
2300,2023,337000000.0000,604541279.0000,72935736.0000,0.1669,0.0683,20.4661,1.970000,12.789000,0.908100,0.04886129
2300,2024,370700000.0000,710363933.0000,83237867.0000,0.1689,0.0723,28.8444,2.250000,13.876300,0.946700,0.03466877
2310,2021,7333333000.0000,8742992000.0000,3591844000.0000,0.2463,0.1468,8.5714,4.900000,19.888800,0.379800,0.11666706
2310,2022,7333333000.0000,6738483000.0000,3595291000.0000,0.2366,0.1500,6.9286,4.900000,21.555400,0.219700,0.14432930
